房源名称,房型面积,户型,朝向,地区,具体地址,照片地址,链接地址,月租价格
整租·东盈商业广场,33.00㎡,1室0厅1卫,南,芙蓉,马王堆-东盈商业广场,"https://image1.ljcdn.com/110000-inspection/pc1_JpVxXKweJ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1691026377957965824.html,2800 元/月
﻿合租·德政园醉心苑,26.00㎡,5室1厅2卫,南,芙蓉,德政园-德政园醉心苑,https://image1.ljcdn.com/rent-user-avatar/14c4cde2-c3f0-465b-be8a-1581cdf5527b.250x182.jpg,https://cs.lianjia.com/zufang/CS1692032430837334016.html,765 元/月
整租·东驿竹园,85.00㎡,2室1厅1卫,南,芙蓉,汽车东站-东驿竹园,"https://image1.ljcdn.com/110000-inspection/pc1_zx6GhrOrp.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1691992666851508224.html,2200 元/月
合租·北辰三角洲奥城E4区,20.00㎡,5室1厅2卫,东南,开福,北辰三角洲-北辰三角洲奥城E4区,https://image1.ljcdn.com/rent-user-avatar/16214567-161e-4fcf-836f-7a6ba3f23a9f.250x182.jpg,https://cs.lianjia.com/zufang/CS1685157581695221760.html,1008 元/月
整租·百纳公寓,30.00㎡,1室0厅1卫,东,芙蓉,马王堆-百纳公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20221013212022a17,https://cs.lianjia.com/zufang/CS1692488795846344704.html,1150 元/月
整租·劳动中路310号,33.00㎡,1室1厅1卫,东南,雨花,东塘-劳动中路310号,https://image1.ljcdn.com/rent-user-avatar/bbdbe411-a10c-4033-a1ec-e0072607549d.250x182.jpg,https://cs.lianjia.com/zufang/CS1654791689983754240.html,1349 元/月
整租·新里程潇湘名城,125.00㎡,4室2厅2卫,南北,雨花,武广新城-新里程潇湘名城,"https://image1.ljcdn.com/110000-inspection/pc1_SbHGoY4nA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692469531475181568.html,3500 元/月
整租·合能雨花公馆,28.00㎡,1室1厅1卫,东南,雨花,武广新城-合能雨花公馆,https://image1.ljcdn.com/rent-user-avatar/b5e54d6f-f895-4c29-ab71-882e482153d5.250x182.jpg,https://cs.lianjia.com/zufang/CS1644969519988342784.html,1249 元/月
整租·长房明宸府,90.00㎡,3室2厅1卫,南,雨花,万家丽南路-长房明宸府,"https://image1.ljcdn.com/110000-inspection/pc1_4T76G6WwH.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1689480535367221248.html,2500 元/月
合租·北辰三角洲C2区,20.00㎡,3室1厅1卫,东南,开福,北辰三角洲-北辰三角洲C2区,https://image1.ljcdn.com/rent-user-avatar/888dac36-fc59-4351-a281-179d5c313235.250x182.jpg,https://cs.lianjia.com/zufang/CS1692841933149306880.html,857 元/月
整租·山语城二期,90.00㎡,2室2厅1卫,南,开福,金霞-山语城二期,"https://image1.ljcdn.com/110000-inspection/46742022-fdfc-48ef-a789-cb1fdf4d094b.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692399691884396544.html,2000 元/月
合租·世纪城贯江苑,20.00㎡,5室1厅2卫,东南,开福,湘江世纪城-世纪城贯江苑,https://image1.ljcdn.com/rent-user-avatar/1b971039-5098-4f40-a63c-0febffbede1c.250x182.jpg,https://cs.lianjia.com/zufang/CS1683336453251137536.html,649 元/月
整租·拿铁空间,34.00㎡,1室1厅1卫,南,雨花,雨花亭-拿铁空间,"https://image1.ljcdn.com/110000-inspection/pc1_uU8UfuUUn.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1692407921586995200.html,1700 元/月
合租·世纪城星江苑,18.00㎡,5室1厅3卫,东南,开福,湘江世纪城-世纪城星江苑,https://image1.ljcdn.com/rent-user-avatar/c20bbda0-e3a5-4197-9474-915851873788.250x182.jpg,https://cs.lianjia.com/zufang/CS1622168415332466688.html,550 元/月
整租·恒大雅苑,90.00㎡,3室2厅1卫,南,开福,广电-恒大雅苑,"https://image1.ljcdn.com/110000-inspection/0ea0ba9b-9be6-4fb9-8b94-4034aa5bd371.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1620434909036281856.html,2300 元/月
整租·雄海花园,169.00㎡,5室2厅2卫,南北,岳麓,桐梓坡-雄海花园,"https://image1.ljcdn.com/110000-inspection/3392177c-17db-484f-a241-69eedd8e9f96_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651441293198360576.html,3800 元/月
整租·东友星座,351.86㎡,8室2厅2卫,北,雨花,东塘-东友星座,"https://image1.ljcdn.com/110000-inspection/pc1_G3yyeOAYi.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1668158898290294784.html,15000 元/月
合租·北辰三角洲奥城E5区,23.00㎡,5室0厅3卫,东南,开福,北辰三角洲-北辰三角洲奥城E5区,https://image1.ljcdn.com/rent-user-avatar/085a2bd1-1b04-4d44-8454-c671339121fe.250x182.jpg,https://cs.lianjia.com/zufang/CS1687688797942185984.html,858 元/月
整租·华银园,163.18㎡,4室2厅2卫,南,雨花,雨花亭-华银园,"https://image1.ljcdn.com/110000-inspection/pc1_rGZzNq3Ny.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1651172739010002944.html,3600 元/月
整租·泰禹公馆,180.00㎡,4室2厅1卫,南,芙蓉,马王堆-泰禹公馆,"https://image1.ljcdn.com/110000-inspection/pc1_bOJe2egER.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1668987796389363712.html,3500 元/月
整租·万坤图财富广场,72.00㎡,2室1厅1卫,南北,雨花,树木岭-万坤图财富广场,"https://image1.ljcdn.com/110000-inspection/pc1_VWXOHYxFX.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1661975752851062784.html,3500 元/月
整租·下河街商贸城,20.00㎡,1室1厅1卫,东南,天心,五一广场-下河街商贸城,https://image1.ljcdn.com/rent-user-avatar/658bd18c-9c2c-4fe3-b3ab-1f1fd769fc62.250x182.jpg,https://cs.lianjia.com/zufang/CS1605479886296711168.html,1199 元/月
整租·北辰三角洲奥城D3区,330.00㎡,5室2厅2卫,西南,开福,北辰三角洲-北辰三角洲奥城D3区,"https://image1.ljcdn.com/110000-inspection/pc1_gX1mvMeY9.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1672893318125584384.html,9000 元/月
合租·凤凰大厦,18.00㎡,5室1厅2卫,东南,芙蓉,浏城桥-凤凰大厦,https://image1.ljcdn.com/rent-user-avatar/115f5ffe-2ab8-4a4d-8526-5e079973f214.250x182.jpg,https://cs.lianjia.com/zufang/CS1692748369044176896.html,707 元/月
整租·中国铁建梅溪青秀,100.00㎡,3室1厅1卫,南北,岳麓,梅溪湖北岸-中国铁建梅溪青秀,"https://image1.ljcdn.com/110000-inspection/pc1_msiIDGEYl.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1674362674512658432.html,3000 元/月
整租·荣盛花语书苑,44.00㎡,1室1厅1卫,南,天心,黄土岭-荣盛花语书苑,https://image1.ljcdn.com/rent-user-avatar/e82796f1-b4f6-4be0-bdd3-0ad8c37b91de.250x182.jpg,https://cs.lianjia.com/zufang/CS1692439117125648384.html,1800 元/月
整租·北辰三角洲C3区,127.00㎡,3室2厅2卫,南,开福,北辰三角洲-北辰三角洲C3区,"https://image1.ljcdn.com/110000-inspection/pc1_FOJ6t4qqw.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1684753103875735552.html,4000 元/月
合租·都市兰亭汇峰苑,20.00㎡,5室1厅2卫,东南,雨花,雨花亭-都市兰亭汇峰苑,https://image1.ljcdn.com/rent-user-avatar/307337b8-ce8b-436f-9e87-38f22c61b83e.250x182.jpg,https://cs.lianjia.com/zufang/CS1691008508989800448.html,607 元/月
整租·映客龙湖璟翠公馆,43.00㎡,2室1厅1卫,南,岳麓,洋湖垸-映客龙湖璟翠公馆,"https://image1.ljcdn.com/110000-inspection/pc1_kez5NiDKg.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1680155506997460992.html,2600 元/月
合租·北辰三角洲C2区,12.00㎡,5室1厅3卫,东南,开福,北辰三角洲-北辰三角洲C2区,https://image1.ljcdn.com/rent-user-avatar/c5e04bcb-db65-4163-be37-e993b2d4a916.250x182.jpg,https://cs.lianjia.com/zufang/CS1687730190366539776.html,500 元/月
整租·映客龙湖璟翠公馆,43.00㎡,2室1厅1卫,南,岳麓,洋湖垸-映客龙湖璟翠公馆,"https://image1.ljcdn.com/110000-inspection/pc1_kez5NiDKg.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1680155506997460992.html,2600 元/月
合租·北辰三角洲C2区,12.00㎡,5室1厅3卫,东南,开福,北辰三角洲-北辰三角洲C2区,https://image1.ljcdn.com/rent-user-avatar/c5e04bcb-db65-4163-be37-e993b2d4a916.250x182.jpg,https://cs.lianjia.com/zufang/CS1687730190366539776.html,500 元/月
整租·山水嘉园,129.00㎡,4室2厅2卫,南北,天心,省政府-山水嘉园,"https://image1.ljcdn.com/110000-inspection/pc1_AaUlp1aEB_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",https://cs.lianjia.com/zufang/CS1647132054032220160.html,2400 元/月
合租·金茂悦,20.00㎡,4室0厅1卫,东南,岳麓,梅溪湖北岸-金茂悦,https://image1.ljcdn.com/rent-user-avatar/5fbbbbd5-bb05-4c2b-8a01-ecdeb9cbd129.250x182.jpg,https://cs.lianjia.com/zufang/CS1565208812120440832.html,758 元/月
